Time,q0.95,q0.5,q0.05
2020-09-30 00:00:00+00:00,42177.16,35199.703,28222.246
2020-09-30 00:30:00+00:00,41367.47,34742.258,28117.045
2020-09-30 01:00:00+00:00,40725.066,34225.277,27725.49
2020-09-30 01:30:00+00:00,40377.3,33959.543,27541.781
2020-09-30 02:00:00+00:00,40179.74,33835.867,27491.992
2020-09-30 02:30:00+00:00,39885.625,33592.254,27298.887
2020-09-30 03:00:00+00:00,39505.16,33243.066,26980.973
2020-09-30 03:30:00+00:00,39236.816,33005.14,26773.465
2020-09-30 04:00:00+00:00,39306.61,33122.555,26938.502
2020-09-30 04:30:00+00:00,39899.867,33793.79,27687.709
2020-09-30 05:00:00+00:00,41282.19,35314.69,29347.188
2020-09-30 05:30:00+00:00,42908.703,37135.04,31361.377
2020-09-30 06:00:00+00:00,44595.535,39059.492,33523.457
2020-09-30 06:30:00+00:00,45924.434,40627.164,35329.89
2020-09-30 07:00:00+00:00,47229.06,42124.426,37019.79
2020-09-30 07:30:00+00:00,48299.32,43317.6,38335.887
2020-09-30 08:00:00+00:00,49211.723,44308.59,39405.46
2020-09-30 08:30:00+00:00,50034.617,45182.01,40329.41
2020-09-30 09:00:00+00:00,50747.082,45916.99,41086.895
2020-09-30 09:30:00+00:00,51371.59,46542.39,41713.195
2020-09-30 10:00:00+00:00,51930.58,47085.76,42240.945
2020-09-30 10:30:00+00:00,52414.895,47537.746,42660.598
2020-09-30 11:00:00+00:00,52847.25,47925.88,43004.51
2020-09-30 11:30:00+00:00,53210.617,48231.43,43252.24
2020-09-30 12:00:00+00:00,53463.336,48407.85,43352.367
2020-09-30 12:30:00+00:00,53649.367,48508.645,43367.92
2020-09-30 13:00:00+00:00,53779.555,48547.75,43315.945
2020-09-30 13:30:00+00:00,53890.957,48570.027,43249.1
2020-09-30 14:00:00+00:00,53936.316,48520.996,43105.676
2020-09-30 14:30:00+00:00,54022.758,48529.36,43035.96
2020-09-30 15:00:00+00:00,54333.156,48809.31,43285.457
2020-09-30 15:30:00+00:00,55002.223,49511.746,44021.273
2020-09-30 16:00:00+00:00,55791.082,50344.36,44897.637
2020-09-30 16:30:00+00:00,56412.047,50972.52,45532.992
2020-09-30 17:00:00+00:00,56859.32,51403.168,45947.01
2020-09-30 17:30:00+00:00,57159.38,51675.76,46192.14
2020-09-30 18:00:00+00:00,57250.273,51721.902,46193.535
2020-09-30 18:30:00+00:00,57019.367,51414.434,45809.5
2020-09-30 19:00:00+00:00,56486.723,50785.62,45084.52
2020-09-30 19:30:00+00:00,55640.035,49824.57,44009.105
2020-09-30 20:00:00+00:00,54486.773,48542.008,42597.24
2020-09-30 20:30:00+00:00,53054.54,46969.195,40883.848
2020-09-30 21:00:00+00:00,51339.7,45094.652,38849.605
2020-09-30 21:30:00+00:00,49505.02,43105.258,36705.496
2020-09-30 22:00:00+00:00,47646.465,41097.957,34549.45
2020-09-30 22:30:00+00:00,45920.254,39243.664,32567.076
2020-09-30 23:00:00+00:00,43742.05,36980.742,30219.432
2020-09-30 23:30:00+00:00,41812.555,35013.938,28215.322
